Date,Open,High,Low,Close,Adj Close,Volume,DAX_formula,counter
7/20/2015,202.899994,203,199,201,135.267487,85080,11735.71973,-44
7/21/2015,201.100006,202.25,197.850006,198.899994,133.854263,66716,11604.79981,-43
7/22/2015,198.25,198.25,194.5,196.100006,131.969925,78723,11520.66992,-42
7/23/2015,199.350006,199.800003,196.399994,198.5,133.585068,93636,11512.11035,-41
7/24/2015,197.699997,197.699997,189.5,189.550003,127.561974,95679,11347.4502,-40
7/27/2015,189.449997,190.350006,185.100006,185.449997,124.802803,91387,11056.40039,-39
7/28/2015,186.5,190.600006,186.350006,190.600006,128.268585,124001,11173.91016,-38
7/29/2015,193.350006,193.399994,183.800003,185.899994,125.105629,214847,11211.84961,-37
7/30/2015,186.649994,186.649994,183.899994,185.550003,124.870094,73617,11257.15039,-36
7/31/2015,185.399994,185.949997,182.550003,184.050003,123.860619,98376,11308.99023,-35
08/03/2015,184.350006,185.75,180.850006,185.75,125.004677,87754,11443.71973,-34
08/04/2015,185.899994,186.949997,183.850006,186,125.172935,82003,11456.07031,-33
08/05/2015,187.899994,192.899994,187.149994,192.399994,129.479919,125852,11636.29981,-32
08/06/2015,192,194.25,189.5,190,127.864815,78001,11585.09961,-31
08/07/2015,190.050003,192.649994,188.350006,191.550003,128.907928,76083,11490.83008,-30
08/10/2015,193.399994,194.149994,190.050003,194.149994,130.657654,62537,11604.78027,-29
08/11/2015,192.649994,192.649994,184.949997,186.199997,125.307518,155718,11293.65039,-28
08/12/2015,183.850006,183.899994,177.649994,177.75,119.620895,195069,10924.61035,-27
8/13/2015,181.5,182.899994,179.5,180.449997,121.437904,102951,11014.62988,-26
8/14/2015,180.199997,182.5,179.050003,180,121.135063,54081,10985.13965,-25
8/17/2015,181.949997,182.699997,177,178.050003,119.822792,72027,10940.33008,-24
8/18/2015,177.75,178.5,175.199997,175.199997,117.9048,81964,10915.91992,-23
8/19/2015,174.75,175.399994,171,171,115.078339,120451,10682.15039,-22
8/20/2015,169.5,172.75,168.050003,168.050003,113.093056,137011,10432.19043,-21
8/21/2015,165.649994,169.350006,165,165,111.040482,129134,10124.51953,-20
8/24/2015,159.850006,163.300003,152.550003,158.550003,106.699829,321454,9648.429688,-19
8/25/2015,160.550003,169.649994,159.100006,167.800003,112.92482,201703,10128.12012,-18
8/26/2015,166.050003,168.399994,162.800003,165.949997,111.67981,128375,9997.429688,-17
8/27/2015,170.850006,172.449997,169.199997,171.149994,115.179276,126388,10315.62012,-16
8/28/2015,172,172.050003,168.300003,170.5,114.741829,59978,10298.53027,-15
8/31/2015,169.949997,169.949997,165.649994,166.699997,112.184555,80455,10259.45996,-14
09/01/2015,164.850006,164.949997,160.850006,161.949997,108.98793,88884,10015.57031,-13
09/02/2015,162,163.100006,159.5,159.5,107.339119,110567,10048.04981,-12
09/03/2015,160.850006,165.449997,160.850006,164.399994,110.636696,72682,10317.83984,-11
09/04/2015,162,163,159.600006,159.949997,107.641991,100289,10038.04004,-10
09/07/2015,162.149994,162.649994,161.050003,161.149994,108.449562,23893,10108.61035,-9
09/08/2015,163.199997,166.600006,163.199997,165.399994,111.309669,60491,10271.36035,-8
09/09/2015,169.449997,172.149994,169.199997,169.600006,114.136177,106074,10303.12012,-7
09/10/2015,167,169.649994,165.899994,166.899994,112.319122,75514,10210.44043,-6
09/11/2015,167.399994,167.399994,165.149994,166.25,111.881699,39165,10123.55957,-5
9/14/2015,166.199997,168.300003,163.899994,165.5,111.376984,31878,10131.74023,-4
9/15/2015,166.850006,168,165.350006,166.850006,112.285492,41889,10188.12988,-3
9/16/2015,168.449997,169.399994,166.25,167.5,112.722931,58404,10227.20996,-2
9/17/2015,168.199997,169.050003,167,167.399994,112.655609,60618,10229.58008,-1
9/18/2015,167.399994,167.399994,160.199997,161.350006,108.584145,112750,9916.160156,0
9/21/2015,140.949997,143.649994,126.699997,133.699997,89.976433,1496789,9948.509766,1
9/22/2015,132.649994,132.649994,105,111.199997,74.834557,3058738,9570.660156,2
9/23/2015,111.550003,123.599998,102.199997,118.900002,80.016449,2381323,9612.620117,3
9/24/2015,124,125.599998,117,118.900002,80.016449,1542875,9427.639648,4
9/25/2015,123,123.5,112.400002,115.550003,77.761993,880779,9688.530273,5
9/28/2015,114.199997,114.5,105,107.099998,72.075378,865427,9483.549805,6
9/29/2015,105,108.599998,102,103.300003,69.518082,513701,9450.400391,7
9/30/2015,108.300003,109.5,104,104.949997,70.628479,416515,9660.44043,8
10/01/2015,108.650002,110.199997,102.75,105.050003,70.695778,477764,9509.25,9
10/02/2015,105.849998,106.300003,100,101.150002,68.07119,588727,9553.070313,10
10/05/2015,101.349998,104.25,95,102.800003,69.181587,754773,9814.790039,11
10/06/2015,103.5,107.550003,99.199997,106.900002,71.940773,422398,9902.830078,12
10/07/2015,109.050003,117.699997,108.900002,114.900002,77.324562,777374,9970.400391,13
10/08/2015,116,121.199997,114.349998,116.199997,78.199417,718094,9993.070313,14
10/09/2015,118.5,133.75,115.800003,125.900002,84.727264,1540333,10096.59961,15
10/12/2015,129.300003,135,127.349998,132.449997,89.135231,873447,10119.83008,16
10/13/2015,133.649994,137.699997,125.349998,130.600006,87.890236,697957,10032.82031,17
10/14/2015,128.199997,135.600006,125.150002,128.600006,86.544289,586262,9915.849609,18
10/15/2015,130.699997,134.25,122.949997,123.800003,83.314026,366474,10064.79981,19
10/16/2015,125,125.199997,119,121.199997,81.564293,376013,10104.42969,20
10/19/2015,119.199997,121.5,116.650002,118.599998,79.814552,184634,10164.30957,21
10/20/2015,118,118.650002,115.300003,116.25,78.23307,169602,10147.67969,22
10/21/2015,117.5,119.949997,116.550003,119.949997,80.723068,144825,10238.09961,23
10/22/2015,121.900002,124.5,120,123.900002,83.38131,163884,10491.96973,24
10/23/2015,126,126.300003,121.849998,121.849998,82.001717,297384,10794.54004,25
10/26/2015,123.099998,125.400002,122.5,125,84.121597,127997,10801.33984,26
10/27/2015,125.849998,126.449997,121.650002,121.800003,81.968086,146572,10692.19043,27
10/28/2015,124,125.599998,120.099998,124.050003,83.482269,120174,10831.95996,28
10/29/2015,125.75,125.900002,123.5,125.400002,84.390778,162434,10800.83984,29
10/30/2015,126,126.449997,124.300003,126.099998,84.861855,109445,10850.13965,30
11/02/2015,126.300003,127.5,124.050003,126.75,85.299278,166285,10950.66992,31
11/03/2015,122.75,124.5,122,124.099998,83.515907,189196,10951.15039,32
11/04/2015,116.800003,119.949997,114.849998,117.150002,78.838745,428246,10845.24023,33
11/05/2015,117.5,121.050003,115.449997,120.099998,80.824013,353465,10887.74023,34
