Price,Close,High,Low,Open,Volume
Ticker,NAS.OL,NAS.OL,NAS.OL,NAS.OL,NAS.OL
Date,,,,,
2020-10-01,44.19453430175781,44.76906567300579,41.94945197655227,41.984806864846966,578784
2020-10-02,44.19453430175781,47.28815199161004,42.67424523216749,44.19453430175781,473738
2020-10-05,43.70839309692383,46.050704938501276,43.107349177692676,45.078427479581066,452525
2020-10-06,43.75259017944336,44.9458429013638,43.75259017944336,44.216632102609154,303682
2020-10-07,40.77387619018555,44.415505432475655,39.686691733413824,44.008917003710955,510301
2020-10-08,40.561744689941406,41.27769563116962,39.68669313853861,41.05672396502736,383082
2020-10-09,30.77707290649414,37.12340893873166,28.470119510017938,35.355628420009864,4392063
2020-10-12,29.91086196899414,31.37812052493852,28.72644793582434,31.333926914141276,1034435
2020-10-13,26.54323959350586,29.91086325926442,26.5167216213262,29.91086325926442,1022997
2020-10-14,27.66577911376953,28.284502285466573,26.34878246784438,26.560915404888988,803540
2020-10-15,26.737693786621094,27.665779457992773,25.853803530342066,27.665779457992773,572393
2020-10-16,26.985183715820312,27.400612682203658,26.560916027232786,26.737694080431137,337263
2020-10-19,30.193706512451172,32.72163518850728,27.047056457465402,27.400612562315153,1029795
2020-10-20,33.05751419067383,35.25839934200793,30.52074676623485,30.52074676623485,1147883
2020-10-21,30.24673843383789,34.81645517731697,29.33633201760607,33.579008827182356,858109
2020-10-22,27.8160400390625,30.688686130513453,27.630423262358516,30.24673918986144,578159
2020-10-23,29.70756721496582,31.378119959593704,27.816039202103447,27.816039202103447,718494
2020-10-26,29.566144943237305,31.740515734628826,28.72644828238537,30.49423063130747,616242
2020-10-27,30.36164665222168,31.289730549918428,29.548467950297518,29.566145395099845,452785
2020-10-28,26.958667755126953,30.891980371112897,26.958667755126953,30.891980371112897,748859
2020-10-29,27.718812942504883,28.638059929969298,26.534400671695067,27.444807132127668,415935
2020-10-30,26.746532440185547,27.842557437897227,26.560915667298367,27.754168412495837,462534
2020-11-02,26.419492721557617,28.726447927559988,26.348782944302368,27.40061253566303,419262
2020-11-03,25.588634490966797,27.40061221199129,25.305789971614715,26.51672015661029,620845
2020-11-04,26.525562286376953,26.773050127919376,25.632831454988423,26.118972024601558,372719
2020-11-05,27.091251373291016,28.620382863615355,26.525562300104866,26.7376952514103,410758
2020-11-06,28.461280822753906,28.66457504128879,27.108927461084505,27.400612510221183,365348
2020-11-09,24.695905685424805,31.378120357866337,21.659741480310977,26.15432551144441,5411445
2020-11-10,24.837329864501953,27.144285153268626,22.097268151721746,23.405426146236355,2607806
2020-11-11,23.24632453918457,24.748939777587147,22.627601360542435,24.748939777587147,1580007
2020-11-12,22.627601623535156,23.423104667021146,22.539212596987536,23.246324809368495,1381141
